uniq_dates,sms_outgoing,sms_not_delivered,sms_delivered,calls_received
2020-10-12,0,0,0,0
2020-10-13,0,0,0,0
2020-10-14,0,0,0,0
2020-10-15,0,0,0,0
2020-10-16,1,0,1,0
2020-10-17,0,0,0,0
2020-10-18,0,0,0,0
2020-10-19,0,0,0,0
2020-10-20,0,0,0,0
2020-10-21,0,0,0,0
2020-10-22,0,0,0,0
2020-10-23,7,1,5,0
2020-10-24,0,0,0,0
2020-10-26,0,0,0,0
2020-10-27,0,0,0,0
2020-11-05,1,0,1,0
2020-11-06,14,2,11,0
2020-11-07,0,0,0,0
2020-11-13,15,4,11,0
2020-11-14,1,0,1,0
2020-11-15,0,0,0,0
2020-11-16,0,0,0,0
2020-11-17,0,0,0,0
2020-11-18,0,0,0,0
2020-11-19,0,0,0,0
2020-11-20,18,6,12,0
2020-11-21,0,0,0,0
2020-11-22,0,0,0,0
2020-11-23,11,11,0,0
2020-11-24,0,0,0,0
2020-11-26,0,0,0,0
2020-11-27,16,3,13,0
2020-11-28,0,0,0,0
2020-11-29,0,0,0,0
2020-12-02,0,0,0,0
2020-12-03,0,0,0,0
2020-12-04,27,9,15,0
2020-12-05,0,0,0,0
2020-12-06,0,0,0,0
2020-12-07,14,14,0,0
2020-12-11,40,7,30,0
2020-12-15,2,2,0,0
2020-12-18,27,0,27,0
2020-12-23,0,0,0,0
2020-12-31,24,3,21,0
2021-01-01,32,3,28,0
2021-01-08,36,2,34,0
2021-01-10,0,0,0,0
2021-01-15,40,4,36,0
2021-01-22,37,6,30,0
2021-01-24,0,0,0,0
2021-01-29,43,3,38,0
2021-02-03,0,0,0,0
2021-02-05,42,3,38,0
2021-02-12,44,4,36,4
2021-02-16,0,0,0,1
2021-02-19,48,5,42,4
2021-02-24,0,0,0,1
2021-02-26,53,7,43,3
2021-03-05,71,7,54,4
2021-03-06,0,0,0,1
2021-03-08,0,0,0,0
2021-03-12,76,15,60,5
2021-03-13,0,0,0,0
2021-03-19,61,0,56,2
2021-03-20,0,0,0,0
2021-03-26,63,0,57,2
2021-04-02,64,0,54,2
2021-04-09,62,0,52,5
2021-04-16,68,14,53,0
2021-04-17,0,0,0,0
2021-04-18,3,0,1,0
2021-04-23,71,11,59,0
2021-04-24,0,0,0,3
2021-04-26,0,0,0,0
2021-04-30,67,10,57,7
2021-05-01,0,0,0,1
2021-05-07,75,14,61,0
2021-05-08,0,0,0,2
2021-05-09,0,0,0,2
2021-05-14,71,12,59,5
2021-05-15,0,0,0,1
2021-05-21,73,13,60,1
2021-05-22,0,0,0,0
2021-05-28,70,10,60,0
2021-05-29,0,0,0,0
2021-06-01,0,0,0,0
2021-06-04,78,10,68,6
2021-06-06,0,0,0,1
2021-06-09,0,0,0,0
2021-06-10,0,0,0,1
2021-06-11,87,15,72,1
2021-06-12,0,0,0,0
2021-06-13,0,0,0,1
2021-06-16,0,0,0,2
2021-06-18,87,17,67,2
2021-06-25,87,18,69,1
2021-07-02,95,19,76,0
2021-07-09,96,17,79,0
2021-07-10,0,0,0,1
2021-07-11,0,0,0,1
2021-07-16,93,17,76,15
2021-07-18,0,0,0,1
2021-07-22,0,0,0,0
2021-07-23,96,18,77,1
2021-07-24,0,0,0,0
2021-07-25,0,0,0,1
2021-07-30,100,21,78,2
2021-08-03,0,0,0,1
2021-08-06,99,21,78,2
2021-08-07,0,0,0,1
2021-08-08,0,0,0,0
2021-08-11,0,0,0,0
2021-08-13,109,22,87,4
2021-08-15,0,0,0,1
2021-08-16,0,0,0,5
2021-08-20,103,23,80,7
2021-08-25,0,0,0,0
2021-08-27,104,17,87,7
2021-08-29,0,0,0,0
2021-08-30,0,0,0,2
2021-09-01,0,0,0,0
2021-09-03,107,21,86,1
2021-09-04,0,0,0,0
2021-09-10,106,20,85,4
2021-09-12,0,0,0,1
2021-09-14,0,0,0,0
2021-09-17,114,19,92,5
2021-09-18,0,0,0,1
2021-09-19,0,0,0,4
2021-09-20,0,0,0,2
2021-09-24,137,42,95,1
2021-09-28,0,0,0,1
2021-10-01,118,20,97,8
2021-10-04,0,0,0,6
2021-10-06,0,0,0,7
2021-10-07,0,0,0,0
2021-10-08,119,21,98,2
2021-10-09,0,0,0,0
2021-10-13,0,0,0,3
2021-10-15,123,23,100,6
2021-10-16,0,0,0,1
2021-10-18,0,0,0,1
2021-10-22,118,23,95,3
2021-10-24,0,0,0,1
2021-10-29,115,27,86,0
2021-10-30,0,0,0,1
2021-11-06,122,23,98,17
2021-11-07,0,0,0,5
2021-11-08,0,0,0,1
2021-11-12,128,26,101,6
2021-11-13,0,0,0,4
2021-11-14,0,0,0,1
2021-11-16,0,0,0,0
2021-11-17,0,0,0,0
2021-11-18,0,0,0,0
2021-11-19,124,21,103,3
2021-11-20,0,0,0,1
2021-11-23,0,0,0,1
2021-11-24,0,0,0,0
2021-11-26,119,2,97,0
2021-12-03,123,25,98,10
2021-12-05,0,0,0,4
2021-12-08,0,0,0,1
2021-12-10,127,19,107,4
2021-12-11,0,0,0,2
2021-12-17,118,20,98,9
2021-12-19,0,0,0,2
2021-12-23,0,0,0,0
2021-12-24,125,3,101,5
2021-12-25,0,0,0,0
2021-12-31,126,27,99,4
2022-01-01,0,0,0,3
2022-01-07,124,22,102,1
2022-01-14,114,3,97,7
2022-01-21,119,2,98,2
2022-01-22,0,0,0,1
2022-01-28,113,21,92,11
2022-01-29,0,0,0,1
2022-01-30,0,0,0,1
2022-02-04,109,2,88,8
2022-02-11,112,2,92,2
2022-02-14,0,0,0,0
2022-02-18,118,16,102,1
2022-02-19,0,0,0,3
2022-02-25,116,17,99,2
2022-03-04,3,0,1,2
2022-03-11,219,4,181,10
2022-03-17,0,0,0,3
2022-03-18,114,1,94,4
2022-03-19,0,0,0,0
2022-03-25,108,15,92,3
2022-03-26,0,0,0,1
2022-04-01,4,2,2,0
2022-04-07,108,15,93,0
2022-04-08,107,17,90,22
2022-04-10,0,0,0,2
2022-04-15,109,1,92,2
2022-04-22,106,14,90,1
2022-04-24,0,0,0,3
2022-04-29,113,15,98,20
2022-04-30,0,0,0,1
2022-05-01,0,0,0,1
2022-05-06,109,3,80,4
2022-05-13,105,0,90,3
2022-05-20,109,3,91,4
2022-05-27,106,1,93,1
2022-06-03,108,13,95,2
2022-06-10,109,1,91,10
2022-06-17,106,9,97,2
2022-06-23,1,0,1,1
2022-06-24,1,0,1,0
2022-06-27,3,0,3,3
2022-06-28,100,13,87,7
2022-06-30,1,0,1,0
2022-07-01,102,2,91,7
2022-07-08,101,3,91,1
2022-07-15,97,3,87,11
2022-07-22,100,3,89,4
2022-07-27,2,0,2,0
2022-07-29,100,9,85,3
2022-08-05,101,2,81,0
2022-08-11,0,0,0,0
2022-08-12,97,2,77,0
2022-08-19,93,3,81,0
2022-08-26,92,13,79,0
2022-08-27,0,0,0,0
2022-09-02,100,5,77,0
2022-09-09,98,2,74,3
